ws_001,1577844001,45
ws_002,1577844015,43
ws_003,1577844020,42
ws_001,1577844001,1
ws_001,1577844001,2
ws_001,1577844001,3
ws_002,1577844001,1
ws_006,1577844015,18
ws_001,1577844001,18
ws_006,1577844015,1
ws_001,1577844001,17
ws_001,1577844001,15
ws_001,1577844001,20
ws_001,1577844008,56
ws_001,1577844010,23
ws_001,1577844035,14
{"id":"ws_002","ts":1577844001,"vc":45}

ws_001,1577844007,23
ws_001,1577844008,56
ws_001,1577844009,45
ws_001,1577844012,89
ws_001,1577844004,23
ws_001,1577844006,23

ws_001,1577844002,23
ws_001,1577844003,23
ws_001,1577844004,23
ws_001,1577844005,23

ws_002,1577844001,23
ws_002,1577844005,23

ws_002sdfjsklfjlsjjsdjfk,1577844005,23
